mode,lrmsd_obs
1,-1.985264040967671
2,-2.389224891672172
3,-2.1731104958619123
4,-2.212117848115304
5,-2.546112143532773
6,-2.8503441496236057
7,-2.7816960210469532
8,-2.9826107792548187
9,-3.0689478047508696
10,-2.9056645144991484
11,-3.242539202817029
12,-3.5509731424386466
13,-3.239218982135641
14,-2.8912378850465705
15,-3.0528530692363165
16,-3.507302626571417
17,-3.273606304215576
18,-3.289175385640001
19,-3.7746481904588234
20,-2.7339465304542765
21,-3.6063996845397472
22,-3.2765780294732925
23,-2.958775749247996
24,-3.4342264201492165
25,-3.6590718701753633
26,-4.018668490161148
27,-3.990454685942399
28,-3.564765542221266
29,-3.7670410130516028
30,-3.389387710194103
31,-4.048825419716238
32,-3.2711997942388993
33,-4.027628547772315
34,-3.5023353624139197
35,-3.9808662525700287
36,-4.07402536116142
37,-3.6226653329188343
38,-4.308895942994454
39,-3.607718439949298
40,-3.4515600441370413
41,-3.4093581130453146
42,-3.363571087858348
43,-4.117309423814284
44,-3.922250423754553
45,-4.289199064483205
46,-3.53338122159692
47,-4.076987687557244
48,-3.8446473594485893
49,-3.7274289647582344
50,-3.683263394681897
51,-3.7706289797737234
52,-4.2815797209627435
53,-4.083453487631344
54,-3.5599475353455836
55,-3.7747429071083847
56,-3.6230333547103926
57,-3.75321102807309
58,-4.21073269136229
59,-4.209246541191322
60,-4.102786515236351
61,-3.704946606565677
62,-3.8359726675757813
63,-3.7896949881051123
64,-3.743631072059662
65,-4.297680947116971
66,-4.795504056106305
67,-4.347851018617883
68,-4.060724728537436
69,-3.5819553132692175
70,-4.221056192395098
71,-4.095402014649721
72,-4.229387953840324
73,-4.2987072732849825
74,-4.757004219164522
75,-4.237882091142141
76,-3.8009091341499968
77,-4.216841110071944
78,-3.601269708049643
79,-4.431996930102594
80,-4.2135701008492745
81,-4.626321868292539
82,-3.585520407973857
83,-3.727604853561428
84,-4.426190214433085
85,-3.954774883356314
86,-4.339717481642144
87,-3.6662424656128065
88,-4.445804145517058
89,-4.372269079996584
90,-3.8380599481011752
91,-3.9330554400636477
92,-4.482647293243494
93,-3.66520766970083
94,-4.060648355867895
95,-4.325106403149587
96,-4.428275701395557
97,-4.750590804368925
98,-4.582461378969626
99,-4.389864728089921
100,-4.180885428613856
101,-4.016599364238842
102,-4.310431426541383
103,-3.9072646486682676
104,-4.0631915777750285
105,-4.6002381279147375
106,-4.282367954749617
107,-4.695097301338603
108,-3.717239762859504
109,-4.156365347257767
110,-3.8356731890012488
111,-4.573043481971687
112,-4.368642748470704
113,-4.282278948103244
114,-4.94659999446993
115,-4.356719327078642
116,-3.925301293191078
117,-4.771822219824049
118,-4.347211781639437
119,-4.220894956201976
120,-4.215479741775081
121,-4.443727574138441
122,-4.567837388060967
123,-4.39213524965748
124,-4.723462287400077
125,-4.193325691106055
126,-4.3051665254347595
127,-4.687380761101038
128,-4.228604021633934
129,-4.805718617503549
130,-4.33285198432125
131,-4.00845773767611
132,-4.408644743530113
133,-4.54760811856268
134,-4.786487856465785
135,-4.653494091381459
136,-3.845626149043356
137,-4.603710984970774
138,-4.33967337689076
139,-4.675197135733626
140,-4.088357051906479
141,-4.580528456716321
142,-5.0430757747207995
143,-4.104433696993642
144,-4.164786699744882
145,-4.4968920827431536
146,-4.584120863473895
147,-4.808107394232386
148,-4.104952231850081
149,-4.225929961133046
150,-4.398733709411291
151,-4.57335016811207
152,-4.459246711221957
153,-4.561139433469271
154,-4.821832823051725
155,-4.409312537021308
156,-4.019456037810885
157,-4.195185095846743
158,-4.053912477493891
159,-4.203147412055081
160,-3.9974572259464938
161,-4.379617637727531
162,-3.859508865883086
163,-4.439350812905087
164,-4.471117902341557
165,-4.672850766970286
166,-4.940765592535527
167,-4.483642489687591
168,-4.534220117382083
169,-4.9180262775335635
170,-4.155774505811809
171,-4.022477501433891
172,-4.067430722405646
173,-4.4332467536325035
174,-4.13669229325687
175,-3.713049808020984
176,-4.114451225450516
177,-4.6754638777722235
178,-4.039289088571228
179,-5.063502727304723
180,-4.804720706538225
181,-4.429715940186271
182,-4.107353346681896
183,-4.023761138334525
184,-4.299948503142357
185,-4.956191572612112
186,-4.867879221562227
187,-4.278978342494027
188,-4.395442738271623
189,-4.143384203768425
190,-4.55585581437976
191,-4.46668424366849
192,-4.292242237429759
193,-4.212111308538519
194,-4.347117200335034
195,-4.427282000135863
196,-4.341651361585381
197,-4.027495436777564
198,-4.111103069541558
199,-4.421635773985729
200,-4.505006574947774
201,-4.541908064545199
202,-5.290466355667536
203,-4.768359717562579
204,-4.578634463784146
205,-4.570356965629045
206,-4.832007911131053
207,-5.0141856704618615
208,-4.186389333116894
209,-4.918634724883431
210,-4.231534538433983
211,-4.2079499601251005
212,-4.519454517048041
213,-4.198950274880758
214,-4.740527948461725
215,-4.469256621967949
216,-4.208633358371113
217,-4.30480786555017
218,-4.318956172975999
219,-4.51992504765518
220,-4.301132991751933
221,-4.559452857716216
222,-4.635652480193991
223,-4.514970837842723
224,-4.533617552095835
225,-4.812094301614503
226,-4.450705899525837
227,-4.939659094120758
228,-4.4419905174305825
229,-4.54985810279109
230,-4.787471616700147
231,-4.450696205710861
232,-5.361285056996956
233,-4.372166565609423
234,-4.7738814982370386
235,-4.955419736205838
236,-4.838205039548179
237,-5.0519051800266785
238,-4.372711571330058
239,-4.546549103823115
240,-4.411582934883103
241,-4.521403935574144
242,-4.783214229042752
243,-4.132035747679286
244,-4.678730467988467
245,-4.9709549772045625
246,-4.788497954351025
247,-4.380331258504969
248,-4.566654400262255
249,-5.052835093469607
250,-4.026952210360265
251,-4.408117118791693
252,-4.45331912171175
253,-4.487410823598556
254,-4.275668601881696
255,-4.848294398683546
256,-4.0742438902015605
257,-4.822083519910338
258,-4.602540059018471
259,-4.489684714976606
260,-4.223185044073279
261,-4.792654005352566
262,-4.615990568547617
263,-4.8630610047855605
264,-5.482679856033827
265,-5.098848167091357
266,-3.8453831344108336
267,-4.30395314915771
268,-4.682759890196032
269,-4.331699160319022
270,-4.672001051323633
271,-4.804741457921534
272,-4.68680796791561
273,-4.813588881212303
274,-4.430391987420791
275,-5.0101657794797125
276,-4.737381605184819
277,-4.70795540494493
278,-4.412941260994782
279,-4.431433204507771
280,-5.037734731048131
281,-4.743651743818295
282,-4.930333550020842
283,-4.515186281112021
284,-4.993668935923513
285,-4.913221043836845
286,-4.359842895977616
287,-5.165552865637842
288,-4.586682050345787
289,-4.817761176699641
290,-5.1406138650611775
291,-5.084806438784077
292,-4.794560653504594
293,-4.488258358589644
294,-4.671445341360455
295,-5.096665506223353
296,-4.556053877836936
297,-4.572934269128083
298,-4.825262201166525
299,-4.9335244753952034
300,-4.330915506377405
301,-5.0696070260987165
302,-4.933722084846334
303,-4.843348601031058
304,-5.17789810790623
305,-5.074556420453705
306,-4.8955017534755925
307,-4.28069982294126
308,-5.637504863195196
309,-5.068702210502332
310,-4.520046918814543
311,-4.564277063974888
312,-5.135223654846773
313,-4.6966726326249715
314,-4.75282132437093
315,-5.280445260557864
316,-4.747831947330251
317,-4.515086703213245
318,-5.159310690880986
319,-5.17250766972208
320,-4.365013986603526
321,-4.567761713690757
322,-4.633058860877513
323,-4.963306455233503
324,-5.051878494917827
325,-4.622238075797152
326,-4.875406694810542
327,-4.919594810515892
328,-4.698017600610244
329,-4.502302251888837
330,-5.689707112177469
331,-5.6734495297063265
332,-5.1220746520735245
333,-4.625373401131319
334,-5.047783108579008
335,-4.383681209088945
336,-4.762744060358119
337,-5.2160061229905
338,-4.852575558222179
339,-4.919796477767264
340,-5.210011440905799
341,-4.7860505012550165
342,-4.3400373660013685
343,-4.943384220171289
344,-5.081252386590575
345,-5.034718873854571
346,-4.8204856265460485
347,-4.79159817884153
348,-5.1392498960499795
349,-5.164828577052702
350,-4.714592697751933
351,-4.748129868848316
352,-4.987674865557689
353,-5.648453388650607
354,-4.746225596108415
355,-5.0407514420938355
356,-5.36741571800614
357,-4.953761292727083
358,-5.0289071779122
359,-4.183262216225187
360,-5.174471370870237
361,-4.517398533346555
362,-5.228394238229792
363,-5.039992850915778
364,-5.282986605929498
365,-5.163695640192921
366,-4.859949134245182
367,-5.278521596178356
368,-4.886032133154846
369,-5.22464337473045
370,-4.792855304641108
371,-4.93366486803411
372,-5.094054062139103
373,-5.05397950361896
374,-4.421077223855062
375,-4.68260017554327
376,-4.978198112060568
377,-4.687836521742372
378,-4.815726196001949
379,-5.023296024182609
380,-5.1919231356123285
381,-5.592123087431951
382,-4.960003623626531
383,-5.25018819804651
384,-4.930088592431299
385,-4.658086748100937
386,-5.436777908507693
387,-4.701573814573074
388,-5.551284777401682
389,-5.2465982539836755
390,-5.210379724793399
391,-5.438835571505138
392,-4.803622074935559
393,-5.0137121109358675
394,-5.048161671188469
395,-5.559134434519447
396,-5.05998483654566
397,-5.158494582511687
398,-4.937610503845026
399,-5.116131473745155
400,-5.27149500965131
401,-5.068684375593943
402,-5.366766537983361
403,-5.2687112228845105
404,-4.922308114399708
405,-4.590331369800979
406,-4.868660274921257
407,-5.123969589877458
408,-4.9162522761226475
409,-4.729796412004061
410,-5.229332004916022
411,-5.058564895973862
412,-5.262952335028767
413,-5.2053569641160875
414,-5.742792697418608
415,-5.551959674770743
416,-5.368132962481851
417,-4.407709169531392
418,-5.453460054595746
419,-4.920202549608194
420,-5.095578902379676
421,-4.996622539989121
422,-5.451791371332607
423,-5.2307254094248945
424,-5.061011042196778
425,-4.95955044004352
426,-5.107537086737444
427,-5.306149875256681
428,-5.346773377587826
429,-5.162894989380744
430,-5.089374061149564
431,-5.547914505775481
432,-4.842710951483008
433,-5.430634713822419
434,-5.468343702171956
435,-4.8576017184963005
